op,pid,latency_ticks,cs_ticks,flags
2,10,29043,10546,0
3,10,18455,0,0
2,10,38743,20290,0
3,7,2408460,921551,0
2,7,51931,31584,0
3,7,18648,0,0
2,7,28718,10267,0
3,7,39212,20251,0
2,7,38719,20245,0
3,7,18473,0,0
2,7,38685,20234,0
3,7,18455,0,0
2,7,28718,10267,0
3,7,18455,0,0
2,7,38719,20245,0
3,7,39795,20234,0
2,7,49600,30545,0
3,7,18473,0,0
2,7,28718,10267,0
3,7,39178,20217,0
2,7,38668,20217,0
3,7,18455,0,0
2,7,38719,20245,0
3,7,18473,0,0
2,7,38685,20234,0
3,7,39178,20217,0
2,7,49414,30446,0
3,8,2436025,911577,0
2,8,40408,20789,0
3,8,18535,0,0
2,8,39198,20658,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,18455,0,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38668,20217,0
3,8,18455,0,0
2,8,38719,20245,0
3,8,39321,20310,0
2,8,39291,20246,0
3,8,18480,0,0
2,8,49486,30487,0
3,8,18455,0,0
2,8,38756,20282,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,18455,0,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38668,20217,0
3,8,18455,0,0
2,8,49425,30445,0
3,8,18473,0,0
3,9,2419138,879360,0
2,9,41277,21587,0
3,9,39794,20560,0
2,9,38968,20298,0
3,9,18475,0,0
2,9,38914,20416,0
3,9,39331,20350,0
2,9,38805,20265,0
3,9,18475,0,0
2,9,38812,20314,0
3,9,39265,20304,0
2,9,39396,20265,0
3,9,18492,0,0
2,9,28998,10450,0
3,9,39295,20334,0
2,9,49546,30540,0
3,9,18475,0,0
2,9,38861,20341,0
3,9,18475,0,0
2,9,38812,20314,0
3,9,39331,20350,0
2,9,38805,20265,0
3,9,18475,0,0
3,10,2440661,958534,0
2,10,31180,11429,0
3,10,18792,0,0
2,10,28764,10287,0
3,10,18455,0,0
2,10,39545,20709,0
3,10,39539,20340,0
2,10,28852,10375,0
3,10,18455,0,0
2,10,50080,30711,0
3,10,18618,0,0
2,10,28931,10407,0
3,10,18455,0,0
2,10,39916,20505,0
3,10,18622,0,0
2,10,49647,30603,0
3,10,18477,0,0
2,10,49406,30449,0
3,10,18467,0,0
2,10,49414,30457,0
3,10,18465,0,0
2,10,38708,20257,0
3,10,18467,0,0
2,10,28780,10307,0
3,10,39200,20237,0
3,7,2444937,940331,0
2,7,40705,21137,0
3,7,18882,0,0
2,7,28856,10405,0
3,7,39342,20381,0
2,7,38757,20283,0
3,7,18505,0,0
2,7,28735,10284,0
3,7,39178,20217,0
2,7,28718,10267,0
3,7,18455,0,0
2,7,38720,20246,0
3,7,39795,20234,0
2,7,38918,20383,0
3,7,18473,0,0
2,7,28735,10284,0
3,7,39178,20217,0
2,7,28718,10267,0
3,7,39178,20217,0
2,7,38668,20217,0
3,7,18455,0,0
2,7,38719,20245,0
3,7,39213,20234,0
2,8,2409979,981118,0
3,8,18885,0,0
2,8,40465,20983,0
3,8,18455,0,0
2,8,39094,20564,0
3,8,18506,0,0
2,8,39516,20537,0
3,8,18455,0,0
2,8,38761,20277,0
3,8,18473,0,0
2,8,38717,20244,0
3,8,18455,0,0
2,8,28750,10278,0
3,8,18455,0,0
2,8,39384,20277,0
3,8,18482,0,0
2,8,28876,10357,0
3,8,18455,0,0
2,8,28839,10367,0
3,8,18455,0,0
2,8,38700,20228,0
3,8,18455,0,0
2,8,38839,20343,0
3,8,39261,20282,0
2,8,28739,10267,0
3,8,39189,20228,0
2,8,49467,30465,0
2,9,242337438,921403,0
2,8,40508,20869,0
3,8,18689,0,0
2,8,39424,20467,0
3,8,18455,0,0
2,8,39198,20690,0
3,8,18497,0,0
2,8,39528,20485,0
3,8,18455,0,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38739,20265,0
3,8,39247,20268,0
2,8,39389,20266,0
3,8,18480,0,0
2,8,38794,20287,0
3,8,18455,0,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38776,20302,0
3,8,39213,20234,0
2,8,38740,20266,0
3,8,18473,0,0
2,8,39543,20586,0
3,8,18455,0,0
2,8,28718,10267,0
2,9,2434850,910677,0
3,9,18793,0,0
2,9,40851,21741,0
3,9,18475,0,0
2,9,38992,20487,0
3,9,39345,20384,0
2,9,38714,20217,0
3,9,18455,0,0
2,9,38855,20333,0
3,9,39395,20394,0
2,9,28760,10267,0
3,9,18455,0,0
2,9,39460,20327,0
3,9,18492,0,0
2,9,28914,10389,0
3,9,18455,0,0
2,9,28885,10391,0
3,9,18455,0,0
2,9,39577,20594,0
3,9,18455,0,0
2,9,38873,20353,0
3,9,18475,0,0
2,9,38824,20326,0
3,9,39343,20362,0
2,9,38734,20217,0
2,10,2398580,879290,0
3,10,18853,0,0
2,10,41640,21826,0
3,10,18528,0,0
2,10,28867,10394,0
3,10,18455,0,0
2,10,39505,20621,0
3,10,18663,0,0
2,10,39613,20564,0
3,10,18455,0,0
2,10,50102,30724,0
3,10,18592,0,0
2,10,39573,20552,0
3,10,18455,0,0
2,10,39334,20250,0
3,10,18466,0,0
2,10,28887,10340,0
3,10,39271,20310,0
2,10,39313,20493,0
